New York City


Sex and Age
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Gramercy (MN0602),Gramercy (MN0602),Gramercy (MN0602),Gramercy (MN0602),Gramercy (MN0602),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Total housing units,"3,649,896",958,0.0,100.0%,,"17,512",924,3.2,100.0%,,"3,632,384 ","1,331",0.0,0.0
Occupied housing units,"3,313,316","5,956",0.1,90.8%,0.2%,"13,798",885,3.9,78.8%,2.9%,"3,299,518 ","6,021",12.0 ,2.9
Vacant housing units,"336,580","5,736",1.0,9.2%,0.2%,"3,714",791,12.9,21.2%,4.4%,"332,866 ","5,790",-12.0 ,4.4
,,,,,,,,,,,
Homeowner vacancy rate ,1.8,0.1,3.4,,,7.5,4.7,38.1,,,-5.7 ,4.7,,
Rental vacancy rate ,3.5,0.1,1.7,,,2.6,2.1,49.0,,,0.9,2.1,,


Gross Rent 
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Gramercy (MN0602),Gramercy (MN0602),Gramercy (MN0602),Gramercy (MN0602),Gramercy (MN0602),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Occupied units paying rent,"2,169,964","6,996",0.2,100.0%,,"8,096",841,6.3,100.0%,,"2,161,868 ","7,046",0.0,0.0
Less than $500,"180,570","3,789",1.3,8.3%,0.2%,76,90,71.9,0.9%,1.1%,"180,494 ","3,790",7.4 ,1.1
$500 to $999,"216,314","4,500",1.3,10.0%,0.2%,535,383,43.5,6.6%,4.7%,"215,779 ","4,516",3.4,4.7
"$1,000 to $1499","417,009","5,267",0.8,19.2%,0.2%,"1,028",410,24.2,12.7%,4.9%,"415,981 ","5,283",6.5 ,4.9
"$1,500 to $1,999","484,992","5,518",0.7,22.4%,0.3%,848,324,23.2,10.5%,3.8%,"484,144 ","5,528",11.9 ,3.8
"$2,000 to $2,499","351,054","5,105",0.9,16.2%,0.2%,889,297,20.3,11.0%,3.5%,"350,165 ","5,114",5.2 ,3.5
"$2,500 to $2,999","185,282","3,657",1.2,8.5%,0.2%,661,271,24.9,8.2%,3.2%,"184,621 ","3,667",0.3,3.2
"$3,000 or more","334,743","4,862",0.9,15.4%,0.2%,"4,059",573,8.6,50.1%,4.8%,"330,684 ","4,896",-34.7 ,4.8
Median gross rent (dollars) ,"1,779",6,0.2,,,"3,003",246,5.0,,,"-1,224 ",246,,
Mean gross rent (dollars) ,"1,996",12,0.4,,,"3,008",458,9.3,,,"-1,012 ",458,,
,,,,,,,,,,,
No rent paid,"56,932","2,324",2.5,,,300,187,37.9,,,"56,632 ","2,332",,
