New York City


Sex and Age
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,East Harlem (South) (MN1101),East Harlem (South) (MN1101),East Harlem (South) (MN1101),East Harlem (South) (MN1101),East Harlem (South) (MN1101),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
"$35,000 to $49,999","178,753","3,762",1.3,9.3%,0.2%,"1,443",345,14.5,11.4%,2.5%,"177,310 ","3,778",-2.1,2.5
"$50,000 to $74,999","265,498","4,727",1.1,13.8%,0.2%,"1,614",381,14.4,12.7%,2.7%,"263,884 ","4,742",1.1,2.7
"$75,000 to $99,999","216,851","3,776",1.1,11.2%,0.2%,785,272,21.1,6.2%,2.1%,"216,066 ","3,786",5.0 ,2.1
"$100,000 to $149,999","313,618","5,166",1.0,16.3%,0.3%,"1,004",247,15.0,7.9%,1.8%,"312,614 ","5,172",8.4 ,1.8
"$150,000 to $199,999","199,982","3,789",1.2,10.4%,0.2%,825,274,20.2,6.5%,2.1%,"199,157 ","3,799",3.9 ,2.1
"$200,000 or more","373,411","6,236",1.0,19.4%,0.3%,"1,803",344,11.6,14.2%,2.3%,"371,608 ","6,245",5.2 ,2.3
Median family income (dollars) ,"90,619",748,0.5,,,"46,015","5,909",7.8,,,"44,604 ","5,956",,
,,,,,,,,,,,
Nonfamily households,"1,384,451","8,816",0.4,100.0%,,"13,181",941,4.3,100.0%,,"1,371,270 ","8,866",0.0,0.0
Median nonfamily income (dollars) ,"59,947",715,0.7,,,"34,958","7,460",13.0,,,"24,989 ","7,494",,
,,,,,,,,,,,
Per capita income (dollars) ,"50,776",390,0.5,,,"43,527","4,338",6.1,,,"7,249 ","4,355",,


Earnings 
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,East Harlem (South) (MN1101),East Harlem (South) (MN1101),East Harlem (South) (MN1101),East Harlem (South) (MN1101),East Harlem (South) (MN1101),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Median earnings for workers (dollars) ,"50,450",327,0.4,,,"46,295","3,881",5.1,,,"4,155 ","3,895",,
"Median earnings for male full-time, year-round workers (dollars) ","71,948",437,0.4,,,"77,475","8,601",6.7,,,"-5,527","8,612",,
"Median earnings for female full-time, year-round workers (dollars) ","67,425",657,0.6,,,"63,518","4,803",4.6,,,"3,907","4,848",,


Housing Occupancy
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,East Harlem (South) (MN1101),East Harlem (South) (MN1101),East Harlem (South) (MN1101),East Harlem (South) (MN1101),East Harlem (South) (MN1101),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Total housing units,"3,649,896",958,0.0,100.0%,,"28,997","1,270",2.7,100.0%,,"3,620,899 ","1,591",0.0,0.0
Occupied housing units,"3,313,316","5,956",0.1,90.8%,0.2%,"25,874","1,324",3.1,89.2%,2.4%,"3,287,442 ","6,101",1.6,2.4
Vacant housing units,"336,580","5,736",1.0,9.2%,0.2%,"3,123",548,10.7,10.8%,1.8%,"333,457 ","5,762",-1.6,1.8
,,,,,,,,,,,
Homeowner vacancy rate ,1.8,0.1,3.4,,,2.4,2.6,64.2,,,-0.6,2.6,,
Rental vacancy rate ,3.5,0.1,1.7,,,3.8,1.1,17.7,,,-0.3,1.1,,


Gross Rent 
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,East Harlem (South) (MN1101),East Harlem (South) (MN1101),East Harlem (South) (MN1101),East Harlem (South) (MN1101),East Harlem (South) (MN1101),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
Occupied units paying rent,"2,169,964","6,996",0.2,100.0%,,"23,726","1,365",3.5,100.0%,,"2,146,238 ","7,128",0.0,0.0
Less than $500,"180,570","3,789",1.3,8.3%,0.2%,"5,068","1,069",12.8,21.4%,4.3%,"175,502 ","3,937",-13.1 ,4.3
$500 to $999,"216,314","4,500",1.3,10.0%,0.2%,"4,749",641,8.2,20.0%,2.4%,"211,565 ","4,545",-10.0 ,2.4
"$1,000 to $1499","417,009","5,267",0.8,19.2%,0.2%,"4,098",544,8.1,17.3%,2.1%,"412,911 ","5,295",1.9,2.1
"$1,500 to $1,999","484,992","5,518",0.7,22.4%,0.3%,"2,809",602,13.0,11.8%,2.4%,"482,183 ","5,551",10.6 ,2.4
"$2,000 to $2,499","351,054","5,105",0.9,16.2%,0.2%,"2,706",510,11.5,11.4%,2.0%,"348,348 ","5,130",4.8 ,2.0
"$2,500 to $2,999","185,282","3,657",1.2,8.5%,0.2%,971,255,16.0,4.1%,1.0%,"184,311 ","3,666",4.4 ,1.0
"$3,000 or more","334,743","4,862",0.9,15.4%,0.2%,"3,325",581,10.6,14.0%,2.3%,"331,418 ","4,897",1.4,2.3
Median gross rent (dollars) ,"1,779",6,0.2,,,"1,216",83,4.1,,,563 ,83,,
Mean gross rent (dollars) ,"1,996",12,0.4,,,"1,591",149,5.7,,,405 ,149,,
,,,,,,,,,,,
No rent paid,"56,932","2,324",2.5,,,226,129,34.6,,,"56,706 ","2,328",,
